Title,Link,Time
Vertex taps Lonza to help produce global supply of cutting-edge CRISPR therapy Casgevy,https://www.fiercepharma.com/pharma/vertex-taps-lonza-help-produce-global-supply-cutting-edge-crispr-therapy-casgevy,2024-09-24 09:41:50
"Novo Nordisk CEO prepares to defend Ozempic, Wegovy US pricing at Senate hearing",https://www.fiercepharma.com/pharma/novos-ceo-jorgensen-prepares-defend-ozempic-wegovy-us-pricing-senate-hearing,2024-09-24 09:32:24
Legend Biotech inks deal for 'priority access' to Multiply Labs' robotic cell therapy production tech,https://www.fiercepharma.com/pharma/robotics-expert-multiply-labs-strikes-cell-therapy-automation-partnership-legend,2024-09-24 09:00:00
"AGC Biologics telegraphs layoffs, winds down production operations at Colorado plant",https://www.fiercepharma.com/pharma/agc-biologics-telegraphs-95-layoffs-idles-cell-gene-plant-amid-tough-cdmo-environment,2024-09-24 08:41:03
"Warren, others urge government to allow generics to Novo's blockbuster GLP-1s ahead of CEO hearing",https://www.fiercepharma.com/pharma/ahead-senate-hearing-novos-ceo-warren-and-others-call-march-rights-lower-ozempic-wegovy,2024-09-23 17:28:57
"Regulatory tracker: Ipsen picks up EU approvals for rare disease meds Kayfanda, Iqviro",https://www.fiercepharma.com/pharma/regulatory-tracker-second-half-2024,2024-09-23 12:50:00
UCB rapidly bolsters blockbuster potential for Bimzelx with 3 new FDA approvals,https://www.fiercepharma.com/pharma/ucb-rapidly-bolsters-blockbuster-potential-its-bimzelx-three-new-fda-approvals,2024-09-23 12:12:00
Appeals Court resurrects PhRMA's lawsuit challenging pricing provisions in IRA,https://www.fiercepharma.com/pharma/appeals-court-resurrects-phrmas-lawsuit-challenging-drug-pricing-provisions-ira,2024-09-23 10:55:45
J&J hopes 3rd time's the charm for Texas two-step strategy as it lifts talc settlement offer to $8B,https://www.fiercepharma.com/pharma/jj-hopes-third-times-charm-texas-two-step-bankruptcy-strategy-its-subsidiary-lifts-talc,2024-09-23 09:33:01
Fiercest Women in Life Sciences 2024: Nominations open now—last week to enter,https://www.fiercepharma.com/pharma/fiercest-women-life-sciences-2024-nominations-open-now,2024-09-23 07:00:00
Sanofi breaks into first-line multiple myeloma with FDA approval for Sarclisa,https://www.fiercepharma.com/pharma/sanofi-breaks-first-line-multiple-myeloma-fda-approval-sarclisa,2024-09-20 16:06:48
"With FDA nod, AstraZeneca's FluMist becomes first self-administered flu vaccine",https://www.fiercepharma.com/pharma/after-fda-nod-astrazenecas-flumist-snags-honor-being-first-self-administered-flu-vaccine,2024-09-20 15:24:57
